Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90000541,Casey,3,0,0,1.62,1.25
90000541,MMC- Clayton,2,0,0,1.17,1.25
90000926,Casey,3,0,0,1.62,1.25
90000999,Casey,1,0,0,1.62,1.25
90001224,MMC- Clayton,28,0,0,1.17,1.25
90001660,Casey,2,0,0,1.62,1.25
90002178,MMC- Clayton,1,0,0,1.17,1.25
90002772,Dandenong,6,0,0,0.54,1.25
90002776,Casey,7,0,0,1.62,1.25
90002776,MMC- Clayton,2,0,0,1.17,1.25
90003149,Casey,2,0,0,1.62,1.25
90003195,Casey,2,0,0,1.62,1.25
90003244,Casey,4,0,0,1.62,1.25
90003263,MMC- Clayton,1,0,0,1.17,1.25
90003309,Casey,1,0,0,1.62,1.25
90003338,MMC- Clayton,1,0,0,1.17,1.25
90003440,MMC- Clayton,2,0,0,1.17,1.25
90003645,MMC- Clayton,4,2,50,1.17,1.25
90003721,MMC- Clayton,4,0,0,1.17,1.25
90003723,MMC- Clayton,1,0,0,1.17,1.25
90003827,MMC- Clayton,4,0,0,1.17,1.25
90003932,MMC- Clayton,1,0,0,1.17,1.25
90003943,Dandenong,2,0,0,0.54,1.25
90004008,MMC- Clayton,2,0,0,1.17,1.25
90004171,MMC- Clayton,2,0,0,1.17,1.25
90004178,Casey,1,0,0,1.62,1.25
90004253,MMC- Clayton,1,0,0,1.17,1.25
90004289,Dandenong,1,0,0,0.54,1.25
90004510,MMC- Clayton,1,0,0,1.17,1.25
90004628,MMC- Clayton,2,0,0,1.17,1.25
90004908,MMC- Clayton,1,0,0,1.17,1.25
90005005,MMC- Clayton,5,0,0,1.17,1.25
90005028,Casey,1,0,0,1.62,1.25
90005035,Dandenong,2,0,0,0.54,1.25
90005109,Casey,5,0,0,1.62,1.25
90005353,Casey,1,0,0,1.62,1.25
90005369,Casey,7,0,0,1.62,1.25
90005703,MMC- Clayton,1,0,0,1.17,1.25
90006510,MMC- Clayton,3,0,0,1.17,1.25
90007275,Casey,4,0,0,1.62,1.25
90007275,Dandenong,9,0,0,0.54,1.25
90007788,Casey,1,0,0,1.62,1.25
90008018,Casey,9,0,0,1.62,1.25
90008396,MMC- Clayton,10,0,0,1.17,1.25
90008672,Dandenong,8,2,25,0.54,1.25
90009738,MMC- Clayton,5,0,0,1.17,1.25
90010158,MMC- Clayton,8,0,0,1.17,1.25
90010636,MMC- Clayton,22,0,0,1.17,1.25
90010720,MMC- Clayton,2,0,0,1.17,1.25
90011578,Casey,15,1,6,1.62,1.25
90013598,MMC- Clayton,2,0,0,1.17,1.25
90013837,MMC- Clayton,28,1,3,1.17,1.25
90013900,Casey,5,0,0,1.62,1.25
90013900,Dandenong,1,0,0,0.54,1.25
90014727,Casey,2,0,0,1.62,1.25
90014902,MMC- Clayton,20,0,0,1.17,1.25
90015608,Casey,1,0,0,1.62,1.25
90015608,Dandenong,6,0,0,0.54,1.25
90015608,MMC- Clayton,20,0,0,1.17,1.25
90015746,Dandenong,1,0,0,0.54,1.25
90015901,MMC- Clayton,2,0,0,1.17,1.25
90016143,Dandenong,1,0,0,0.54,1.25
90018068,Casey,5,0,0,1.62,1.25
90018068,MMC- Clayton,2,0,0,1.17,1.25
90018863,Casey,13,1,7,1.62,1.25
90018863,MMC- Clayton,4,0,0,1.17,1.25
90019764,MMC- Clayton,5,0,0,1.17,1.25
90020817,Dandenong,8,0,0,0.54,1.25
90020817,MMC- Clayton,3,0,0,1.17,1.25
90021003,Dandenong,4,0,0,0.54,1.25
90022682,MMC- Clayton,3,0,0,1.17,1.25
90023171,MMC- Clayton,19,0,0,1.17,1.25
90024040,MMC- Clayton,14,0,0,1.17,1.25
90024223,Casey,4,0,0,1.62,1.25
90024223,Dandenong,1,0,0,0.54,1.25
90024223,MMC- Clayton,4,0,0,1.17,1.25
90024320,MMC- Clayton,15,0,0,1.17,1.25
90024716,Casey,1,0,0,1.62,1.25
90025727,Dandenong,3,0,0,0.54,1.25
90026166,MMC- Clayton,38,0,0,1.17,1.25
90027194,Casey,1,0,0,1.62,1.25
90028087,Casey,1,0,0,1.62,1.25
90028254,Dandenong,6,0,0,0.54,1.25
90028254,MMC- Clayton,21,1,4,1.17,1.25
90029255,Casey,1,0,0,1.62,1.25
90029255,Dandenong,7,0,0,0.54,1.25
90029388,Dandenong,3,0,0,0.54,1.25
90030535,MMC- Clayton,12,0,0,1.17,1.25
90031199,Casey,3,0,0,1.62,1.25
90031311,MMC- Clayton,4,0,0,1.17,1.25
90031341,MMC- Clayton,4,0,0,1.17,1.25
90032676,Casey,6,0,0,1.62,1.25
90032705,MMC- Clayton,2,0,0,1.17,1.25
90032929,MMC- Clayton,5,0,0,1.17,1.25
90033661,Casey,3,0,0,1.62,1.25
90033661,Dandenong,4,0,0,0.54,1.25
90033661,MMC- Clayton,15,0,0,1.17,1.25
90033774,Dandenong,3,0,0,0.54,1.25
90033774,MMC- Clayton,26,1,3,1.17,1.25
90033803,MMC- Clayton,9,0,0,1.17,1.25
90034135,MMC- Clayton,6,0,0,1.17,1.25
90034329,Dandenong,2,0,0,0.54,1.25
90034785,Casey,7,0,0,1.62,1.25
90034958,Casey,1,0,0,1.62,1.25
90035140,Casey,1,0,0,1.62,1.25
90035880,Dandenong,1,0,0,0.54,1.25
90036519,MMC- Clayton,1,0,0,1.17,1.25
90037802,MMC- Clayton,4,0,0,1.17,1.25
90037850,Dandenong,2,0,0,0.54,1.25
90038386,Casey,5,0,0,1.62,1.25
90039000,Casey,7,0,0,1.62,1.25
90039000,Dandenong,2,0,0,0.54,1.25
90039551,Casey,9,0,0,1.62,1.25
90039551,Dandenong,1,0,0,0.54,1.25
90039776,Casey,2,0,0,1.62,1.25
90040184,Dandenong,1,0,0,0.54,1.25
90040371,MMC- Clayton,3,0,0,1.17,1.25
90040773,Dandenong,4,0,0,0.54,1.25
90040881,Casey,6,0,0,1.62,1.25
90041374,Casey,1,0,0,1.62,1.25
90043227,MMC- Clayton,8,0,0,1.17,1.25
90043338,MMC- Clayton,8,0,0,1.17,1.25
90043759,Casey,6,2,33,1.62,1.25
90043890,Dandenong,1,0,0,0.54,1.25
90044135,Casey,14,0,0,1.62,1.25
90044868,Casey,8,0,0,1.62,1.25
90044868,Dandenong,2,0,0,0.54,1.25
90045378,MMC- Clayton,2,0,0,1.17,1.25
90046308,Casey,10,0,0,1.62,1.25
90046416,Casey,9,0,0,1.62,1.25
90047010,Dandenong,1,0,0,0.54,1.25
90047064,MMC- Clayton,1,0,0,1.17,1.25
90047604,Casey,2,0,0,1.62,1.25
90047937,Dandenong,1,0,0,0.54,1.25
90048709,Casey,4,0,0,1.62,1.25
90048747,MMC- Clayton,3,0,0,1.17,1.25
90049188,Dandenong,8,0,0,0.54,1.25
90051139,Dandenong,9,0,0,0.54,1.25
90051548,MMC- Clayton,8,0,0,1.17,1.25
90052261,MMC- Clayton,4,0,0,1.17,1.25
90052270,MMC- Clayton,15,2,13,1.17,1.25
90052753,Casey,2,0,0,1.62,1.25
90052916,Dandenong,9,0,0,0.54,1.25
90052916,MMC- Clayton,6,0,0,1.17,1.25
90053104,Dandenong,3,0,0,0.54,1.25
90053409,Casey,9,0,0,1.62,1.25
90053418,Casey,1,0,0,1.62,1.25
90053418,Dandenong,1,0,0,0.54,1.25
90053715,Casey,8,0,0,1.62,1.25
90053753,MMC- Clayton,2,0,0,1.17,1.25
90054690,Casey,6,0,0,1.62,1.25
90054690,Dandenong,5,0,0,0.54,1.25
90055388,Casey,4,0,0,1.62,1.25
90055388,Dandenong,2,0,0,0.54,1.25
90056255,MMC- Clayton,2,0,0,1.17,1.25
90056621,Casey,4,0,0,1.62,1.25
90056621,Dandenong,5,0,0,0.54,1.25
90056792,Casey,6,0,0,1.62,1.25
90057408,Dandenong,5,0,0,0.54,1.25
90057415,Casey,3,0,0,1.62,1.25
90057415,MMC- Clayton,2,0,0,1.17,1.25
90057890,Dandenong,1,0,0,0.54,1.25
90058180,MMC- Clayton,3,0,0,1.17,1.25
90058333,MMC- Clayton,3,0,0,1.17,1.25
90058786,Dandenong,1,0,0,0.54,1.25
90059584,Casey,1,0,0,1.62,1.25
90059584,Dandenong,3,0,0,0.54,1.25
90059584,MMC- Clayton,20,0,0,1.17,1.25
90059876,MMC- Clayton,1,0,0,1.17,1.25
90060546,MMC- Clayton,1,0,0,1.17,1.25
90060746,Casey,4,0,0,1.62,1.25
90060945,Casey,1,0,0,1.62,1.25
90060945,Dandenong,6,0,0,0.54,1.25
90060950,Dandenong,1,0,0,0.54,1.25
90060950,MMC- Clayton,7,1,14,1.17,1.25
90061220,Casey,5,0,0,1.62,1.25
90061220,MMC- Clayton,7,0,0,1.17,1.25
90062205,MMC- Clayton,38,2,5,1.17,1.25
90063200,Casey,8,0,0,1.62,1.25
90064512,Casey,10,0,0,1.62,1.25
90066524,MMC- Clayton,18,0,0,1.17,1.25
90068267,Dandenong,12,0,0,0.54,1.25
90068451,Dandenong,4,0,0,0.54,1.25
90069969,Casey,4,0,0,1.62,1.25
90070093,MMC- Clayton,21,0,0,1.17,1.25
90070899,Casey,1,0,0,1.62,1.25
90071350,Dandenong,3,0,0,0.54,1.25
90071662,Casey,9,0,0,1.62,1.25
90071914,Casey,4,0,0,1.62,1.25
90072373,Dandenong,3,0,0,0.54,1.25
90072373,MMC- Clayton,10,0,0,1.17,1.25
90074347,Casey,5,0,0,1.62,1.25
90074642,Dandenong,1,0,0,0.54,1.25
90074642,MMC- Clayton,2,0,0,1.17,1.25
90074963,Casey,4,0,0,1.62,1.25
90075008,MMC- Clayton,22,2,9,1.17,1.25
90075334,MMC- Clayton,13,0,0,1.17,1.25
90075767,Casey,4,0,0,1.62,1.25
90075767,Dandenong,3,0,0,0.54,1.25
90075796,MMC- Clayton,4,0,0,1.17,1.25
90076316,Casey,3,0,0,1.62,1.25
90076316,Dandenong,3,0,0,0.54,1.25
90076693,MMC- Clayton,8,0,0,1.17,1.25
90076797,MMC- Clayton,2,0,0,1.17,1.25
90077401,MMC- Clayton,18,0,0,1.17,1.25
90077628,Casey,12,0,0,1.62,1.25
90077920,MMC- Clayton,1,0,0,1.17,1.25
90078071,MMC- Clayton,14,0,0,1.17,1.25
90078140,Casey,4,0,0,1.62,1.25
90078263,Casey,7,0,0,1.62,1.25
90078705,MMC- Clayton,21,0,0,1.17,1.25
90078787,MMC- Clayton,3,0,0,1.17,1.25
90078814,Casey,2,0,0,1.62,1.25
90078814,MMC- Clayton,6,0,0,1.17,1.25
90079400,Casey,1,0,0,1.62,1.25
90079546,MMC- Clayton,15,2,13,1.17,1.25
90080314,Dandenong,2,0,0,0.54,1.25
90080314,MMC- Clayton,3,0,0,1.17,1.25
90080745,MMC- Clayton,8,0,0,1.17,1.25
90081325,MMC- Clayton,32,0,0,1.17,1.25
90081556,MMC- Clayton,5,0,0,1.17,1.25
90081588,MMC- Clayton,1,0,0,1.17,1.25
90081957,Dandenong,1,0,0,0.54,1.25
90081957,MMC- Clayton,14,0,0,1.17,1.25
90082317,Dandenong,4,0,0,0.54,1.25
90082317,MMC- Clayton,8,0,0,1.17,1.25
90082515,Casey,15,0,0,1.62,1.25
90082515,Dandenong,3,0,0,0.54,1.25
90082524,Casey,2,0,0,1.62,1.25
90082606,MMC- Clayton,1,0,0,1.17,1.25
90082724,Casey,15,1,6,1.62,1.25
90083027,Casey,7,0,0,1.62,1.25
90083027,MMC- Clayton,11,0,0,1.17,1.25
90083180,Casey,7,0,0,1.62,1.25
90083180,Dandenong,4,0,0,0.54,1.25
90083199,Dandenong,4,0,0,0.54,1.25
90083266,MMC- Clayton,29,0,0,1.17,1.25
90085012,Casey,4,0,0,1.62,1.25
90085012,Dandenong,1,0,0,0.54,1.25
90085043,MMC- Clayton,3,0,0,1.17,1.25
90085693,Casey,1,0,0,1.62,1.25
90085715,Casey,5,1,20,1.62,1.25
90085898,MMC- Clayton,11,0,0,1.17,1.25
90086088,MMC- Clayton,4,0,0,1.17,1.25
90086136,Casey,24,0,0,1.62,1.25
90086232,MMC- Clayton,3,0,0,1.17,1.25
90086511,Casey,14,0,0,1.62,1.25
90088199,Casey,7,0,0,1.62,1.25
90088199,Dandenong,4,0,0,0.54,1.25
90089123,Casey,10,0,0,1.62,1.25
90089947,Casey,8,0,0,1.62,1.25
90089975,Casey,7,0,0,1.62,1.25
90090296,Dandenong,5,0,0,0.54,1.25
90090681,Casey,8,0,0,1.62,1.25
90091034,MMC- Clayton,2,0,0,1.17,1.25
90093120,MMC- Clayton,7,0,0,1.17,1.25
90093190,Casey,1,0,0,1.62,1.25
90093190,MMC- Clayton,2,0,0,1.17,1.25
90093516,MMC- Clayton,6,0,0,1.17,1.25
90094007,Casey,3,0,0,1.62,1.25
90094126,MMC- Clayton,8,0,0,1.17,1.25
90094427,MMC- Clayton,15,0,0,1.17,1.25
90094829,Casey,2,0,0,1.62,1.25
90095252,Casey,5,0,0,1.62,1.25
90096616,MMC- Clayton,8,0,0,1.17,1.25
90096638,MMC- Clayton,1,0,0,1.17,1.25
90097823,Casey,5,0,0,1.62,1.25
90097823,Dandenong,7,0,0,0.54,1.25
90097823,MMC- Clayton,4,0,0,1.17,1.25
90098181,MMC- Clayton,17,1,5,1.17,1.25
90098405,Casey,5,0,0,1.62,1.25
90098744,MMC- Clayton,23,0,0,1.17,1.25
90098753,Casey,7,0,0,1.62,1.25
90098792,MMC- Clayton,1,0,0,1.17,1.25
90099597,MMC- Clayton,1,0,0,1.17,1.25
90099752,Dandenong,6,0,0,0.54,1.25
90099752,MMC- Clayton,12,0,0,1.17,1.25
90100013,Casey,9,0,0,1.62,1.25
90100582,Dandenong,7,0,0,0.54,1.25
90100582,MMC- Clayton,6,0,0,1.17,1.25
90101121,MMC- Clayton,2,0,0,1.17,1.25
90101122,MMC- Clayton,5,0,0,1.17,1.25
90101219,Dandenong,2,0,0,0.54,1.25
90101274,Casey,24,0,0,1.62,1.25
