Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90033661,4,Dandenong,0,0,2.72,3.22
90033774,3,Dandenong,0,0,2.72,3.22
90034329,2,Dandenong,0,0,2.72,3.22
90035880,1,Dandenong,0,0,2.72,3.22
90037850,2,Dandenong,0,0,2.72,3.22
90039000,2,Dandenong,0,0,2.72,3.22
90039551,1,Dandenong,0,0,2.72,3.22
90040184,1,Dandenong,0,0,2.72,3.22
90040773,4,Dandenong,1,25,2.72,3.22
90043890,1,Dandenong,0,0,2.72,3.22
90044868,2,Dandenong,0,0,2.72,3.22
90047010,1,Dandenong,0,0,2.72,3.22
90047937,1,Dandenong,0,0,2.72,3.22
90049188,8,Dandenong,0,0,2.72,3.22
90051139,9,Dandenong,0,0,2.72,3.22
90052916,9,Dandenong,0,0,2.72,3.22
90053104,3,Dandenong,0,0,2.72,3.22
90053418,1,Dandenong,0,0,2.72,3.22
90054690,5,Dandenong,0,0,2.72,3.22
90055388,2,Dandenong,0,0,2.72,3.22
90056621,5,Dandenong,0,0,2.72,3.22
90057408,5,Dandenong,0,0,2.72,3.22
90057890,1,Dandenong,0,0,2.72,3.22
90058786,1,Dandenong,0,0,2.72,3.22
90059584,3,Dandenong,0,0,2.72,3.22
90060945,6,Dandenong,1,16,2.72,3.22
90060950,1,Dandenong,0,0,2.72,3.22
90068267,12,Dandenong,1,8,2.72,3.22
90068451,4,Dandenong,0,0,2.72,3.22
90071350,3,Dandenong,0,0,2.72,3.22
90072373,3,Dandenong,0,0,2.72,3.22
90074642,1,Dandenong,0,0,2.72,3.22
90075767,3,Dandenong,0,0,2.72,3.22
90076316,3,Dandenong,0,0,2.72,3.22
90080314,2,Dandenong,0,0,2.72,3.22
90081957,1,Dandenong,0,0,2.72,3.22
90082317,4,Dandenong,0,0,2.72,3.22
90082515,3,Dandenong,0,0,2.72,3.22
90083180,4,Dandenong,0,0,2.72,3.22
90083199,4,Dandenong,0,0,2.72,3.22
90085012,1,Dandenong,0,0,2.72,3.22
90088199,4,Dandenong,0,0,2.72,3.22
90090296,5,Dandenong,0,0,2.72,3.22
90097823,7,Dandenong,0,0,2.72,3.22
90099752,6,Dandenong,0,0,2.72,3.22
90100582,7,Dandenong,1,14,2.72,3.22
90101219,2,Dandenong,0,0,2.72,3.22
90102895,5,Dandenong,0,0,2.72,3.22
90104011,5,Dandenong,0,0,2.72,3.22
90104880,3,Dandenong,0,0,2.72,3.22
90107017,3,Dandenong,0,0,2.72,3.22
90107765,7,Dandenong,0,0,2.72,3.22
90109083,2,Dandenong,0,0,2.72,3.22
90109179,1,Dandenong,0,0,2.72,3.22
90112361,2,Dandenong,1,50,2.72,3.22
90112578,3,Dandenong,0,0,2.72,3.22
90113108,3,Dandenong,0,0,2.72,3.22
90115923,5,Dandenong,0,0,2.72,3.22
90116155,1,Dandenong,0,0,2.72,3.22
90117588,3,Dandenong,0,0,2.72,3.22
90118204,2,Dandenong,0,0,2.72,3.22
90119011,1,Dandenong,0,0,2.72,3.22
90119742,5,Dandenong,1,20,2.72,3.22
90119988,1,Dandenong,0,0,2.72,3.22
90123274,4,Dandenong,0,0,2.72,3.22
90123339,2,Dandenong,0,0,2.72,3.22
90124202,7,Dandenong,0,0,2.72,3.22
90124438,1,Dandenong,0,0,2.72,3.22
90124439,4,Dandenong,0,0,2.72,3.22
90124446,1,Dandenong,0,0,2.72,3.22
90124447,5,Dandenong,0,0,2.72,3.22
90124449,10,Dandenong,0,0,2.72,3.22
90124459,2,Dandenong,0,0,2.72,3.22
90124499,1,Dandenong,0,0,2.72,3.22
90124515,1,Dandenong,0,0,2.72,3.22
90124517,4,Dandenong,0,0,2.72,3.22
90124561,6,Dandenong,0,0,2.72,3.22
90124565,2,Dandenong,1,50,2.72,3.22
90124570,1,Dandenong,0,0,2.72,3.22
90139416,1,Dandenong,0,0,2.72,3.22
90140978,1,Dandenong,0,0,2.72,3.22
90144627,5,Dandenong,0,0,2.72,3.22
90144754,1,Dandenong,0,0,2.72,3.22
90145198,1,Dandenong,0,0,2.72,3.22
90145457,1,Dandenong,0,0,2.72,3.22
90145469,5,Dandenong,0,0,2.72,3.22
90146286,1,Dandenong,0,0,2.72,3.22
90148374,1,Dandenong,0,0,2.72,3.22
90154371,5,Dandenong,0,0,2.72,3.22
90156769,1,Dandenong,0,0,2.72,3.22
90160647,1,Dandenong,0,0,2.72,3.22
90160650,3,Dandenong,0,0,2.72,3.22
90160968,1,Dandenong,0,0,2.72,3.22
90162772,1,Dandenong,0,0,2.72,3.22
90164142,2,Dandenong,0,0,2.72,3.22
90165844,2,Dandenong,0,0,2.72,3.22
90000541,3,Casey,0,0,2.48,3.22
90000926,3,Casey,0,0,2.48,3.22
90000999,1,Casey,0,0,2.48,3.22
90001660,2,Casey,0,0,2.48,3.22
90002776,7,Casey,0,0,2.48,3.22
90003149,2,Casey,0,0,2.48,3.22
90003195,2,Casey,1,50,2.48,3.22
90003244,4,Casey,0,0,2.48,3.22
90003309,1,Casey,0,0,2.48,3.22
90004178,1,Casey,0,0,2.48,3.22
90005028,1,Casey,0,0,2.48,3.22
90005109,5,Casey,0,0,2.48,3.22
90005353,1,Casey,0,0,2.48,3.22
90005369,7,Casey,0,0,2.48,3.22
90007275,4,Casey,0,0,2.48,3.22
90007788,1,Casey,0,0,2.48,3.22
90008018,9,Casey,0,0,2.48,3.22
90011578,15,Casey,0,0,2.48,3.22
90013900,5,Casey,0,0,2.48,3.22
90014727,2,Casey,0,0,2.48,3.22
90015608,1,Casey,0,0,2.48,3.22
90018068,5,Casey,0,0,2.48,3.22
90018863,13,Casey,1,7,2.48,3.22
90024223,4,Casey,0,0,2.48,3.22
90024716,1,Casey,0,0,2.48,3.22
90027194,1,Casey,0,0,2.48,3.22
90028087,1,Casey,0,0,2.48,3.22
90029255,1,Casey,0,0,2.48,3.22
90031199,3,Casey,0,0,2.48,3.22
90032676,6,Casey,1,16,2.48,3.22
90033661,3,Casey,1,33,2.48,3.22
90034785,7,Casey,0,0,2.48,3.22
90034958,1,Casey,0,0,2.48,3.22
90035140,1,Casey,0,0,2.48,3.22
90038386,5,Casey,0,0,2.48,3.22
90039000,7,Casey,0,0,2.48,3.22
90039551,9,Casey,0,0,2.48,3.22
90039776,2,Casey,0,0,2.48,3.22
90040881,6,Casey,0,0,2.48,3.22
90041374,1,Casey,0,0,2.48,3.22
90043759,6,Casey,1,16,2.48,3.22
90044135,14,Casey,0,0,2.48,3.22
90044868,8,Casey,0,0,2.48,3.22
90046308,10,Casey,0,0,2.48,3.22
90046416,9,Casey,0,0,2.48,3.22
90047604,2,Casey,0,0,2.48,3.22
90048709,4,Casey,0,0,2.48,3.22
90052753,2,Casey,0,0,2.48,3.22
90053409,9,Casey,0,0,2.48,3.22
90053418,1,Casey,0,0,2.48,3.22
90053715,8,Casey,0,0,2.48,3.22
90054690,6,Casey,0,0,2.48,3.22
90055388,4,Casey,0,0,2.48,3.22
90056621,4,Casey,0,0,2.48,3.22
90056792,6,Casey,0,0,2.48,3.22
90057415,3,Casey,0,0,2.48,3.22
90059584,1,Casey,0,0,2.48,3.22
90060746,4,Casey,0,0,2.48,3.22
90060945,1,Casey,0,0,2.48,3.22
90061220,5,Casey,0,0,2.48,3.22
90063200,8,Casey,0,0,2.48,3.22
90064512,10,Casey,1,10,2.48,3.22
90069969,4,Casey,0,0,2.48,3.22
90070899,1,Casey,0,0,2.48,3.22
90071662,9,Casey,0,0,2.48,3.22
90071914,4,Casey,0,0,2.48,3.22
90074347,5,Casey,0,0,2.48,3.22
90074963,4,Casey,0,0,2.48,3.22
90075767,4,Casey,0,0,2.48,3.22
90076316,3,Casey,0,0,2.48,3.22
90077628,12,Casey,0,0,2.48,3.22
90078140,4,Casey,0,0,2.48,3.22
90078263,7,Casey,0,0,2.48,3.22
90078814,2,Casey,0,0,2.48,3.22
90079400,1,Casey,0,0,2.48,3.22
90082515,15,Casey,0,0,2.48,3.22
90082524,2,Casey,0,0,2.48,3.22
90082724,15,Casey,2,13,2.48,3.22
90083027,7,Casey,0,0,2.48,3.22
90083180,7,Casey,0,0,2.48,3.22
90085012,4,Casey,0,0,2.48,3.22
90085693,1,Casey,0,0,2.48,3.22
90085715,5,Casey,1,20,2.48,3.22
90086136,24,Casey,0,0,2.48,3.22
90086511,14,Casey,0,0,2.48,3.22
90088199,7,Casey,0,0,2.48,3.22
90089123,10,Casey,0,0,2.48,3.22
90089947,8,Casey,0,0,2.48,3.22
90089975,7,Casey,0,0,2.48,3.22
90090681,8,Casey,0,0,2.48,3.22
90093190,1,Casey,0,0,2.48,3.22
90094007,3,Casey,0,0,2.48,3.22
90094829,2,Casey,1,50,2.48,3.22
90095252,5,Casey,0,0,2.48,3.22
90097823,5,Casey,0,0,2.48,3.22
90098405,5,Casey,0,0,2.48,3.22
90098753,7,Casey,0,0,2.48,3.22
90100013,9,Casey,0,0,2.48,3.22
90101274,24,Casey,0,0,2.48,3.22
90102895,1,Casey,0,0,2.48,3.22
90103318,23,Casey,0,0,2.48,3.22
90104011,8,Casey,0,0,2.48,3.22
90104797,5,Casey,0,0,2.48,3.22
90105952,3,Casey,1,33,2.48,3.22
90109179,2,Casey,0,0,2.48,3.22
90109536,3,Casey,0,0,2.48,3.22
90111234,1,Casey,1,100,2.48,3.22
90111258,1,Casey,0,0,2.48,3.22
90111265,1,Casey,0,0,2.48,3.22
90112083,3,Casey,0,0,2.48,3.22
90113883,11,Casey,0,0,2.48,3.22
90115768,3,Casey,0,0,2.48,3.22
90116155,4,Casey,1,25,2.48,3.22
90117588,7,Casey,1,14,2.48,3.22
90117635,5,Casey,0,0,2.48,3.22
90119071,3,Casey,0,0,2.48,3.22
90119715,4,Casey,0,0,2.48,3.22
90119742,4,Casey,0,0,2.48,3.22
90119860,1,Casey,0,0,2.48,3.22
90122677,2,Casey,0,0,2.48,3.22
90123231,7,Casey,1,14,2.48,3.22
90123234,1,Casey,0,0,2.48,3.22
90123243,3,Casey,0,0,2.48,3.22
90123255,3,Casey,0,0,2.48,3.22
90123258,3,Casey,0,0,2.48,3.22
90123261,3,Casey,0,0,2.48,3.22
90123262,8,Casey,0,0,2.48,3.22
90123265,5,Casey,0,0,2.48,3.22
90123274,5,Casey,0,0,2.48,3.22
90123284,4,Casey,0,0,2.48,3.22
90123295,1,Casey,0,0,2.48,3.22
90123296,3,Casey,0,0,2.48,3.22
90123301,4,Casey,0,0,2.48,3.22
90123323,4,Casey,0,0,2.48,3.22
90123332,1,Casey,0,0,2.48,3.22
90124199,5,Casey,0,0,2.48,3.22
90124202,8,Casey,0,0,2.48,3.22
90124438,14,Casey,0,0,2.48,3.22
90124439,10,Casey,0,0,2.48,3.22
90124440,26,Casey,0,0,2.48,3.22
90124441,7,Casey,0,0,2.48,3.22
90124443,3,Casey,0,0,2.48,3.22
90124445,6,Casey,0,0,2.48,3.22
90124446,6,Casey,0,0,2.48,3.22
90124447,7,Casey,0,0,2.48,3.22
90124449,2,Casey,0,0,2.48,3.22
90124491,5,Casey,0,0,2.48,3.22
90124502,5,Casey,1,20,2.48,3.22
90124508,11,Casey,0,0,2.48,3.22
90124539,1,Casey,0,0,2.48,3.22
90124543,2,Casey,0,0,2.48,3.22
90124552,2,Casey,0,0,2.48,3.22
90124570,2,Casey,0,0,2.48,3.22
90124574,7,Casey,0,0,2.48,3.22
90124612,5,Casey,0,0,2.48,3.22
90124642,11,Casey,1,9,2.48,3.22
90124936,5,Casey,0,0,2.48,3.22
90124939,1,Casey,0,0,2.48,3.22
90132167,29,Casey,0,0,2.48,3.22
90135325,12,Casey,1,8,2.48,3.22
90137181,1,Casey,0,0,2.48,3.22
90137813,19,Casey,2,10,2.48,3.22
90140200,3,Casey,0,0,2.48,3.22
90141465,3,Casey,0,0,2.48,3.22
90142803,2,Casey,0,0,2.48,3.22
90142812,3,Casey,0,0,2.48,3.22
90142827,6,Casey,0,0,2.48,3.22
90142841,7,Casey,1,14,2.48,3.22
90142861,1,Casey,0,0,2.48,3.22
90142863,1,Casey,0,0,2.48,3.22
90142876,1,Casey,0,0,2.48,3.22
90142879,1,Casey,0,0,2.48,3.22
90144220,4,Casey,0,0,2.48,3.22
90144606,1,Casey,0,0,2.48,3.22
90144629,28,Casey,0,0,2.48,3.22
90144646,8,Casey,0,0,2.48,3.22
90144872,30,Casey,2,6,2.48,3.22
90144933,7,Casey,0,0,2.48,3.22
90144951,7,Casey,0,0,2.48,3.22
90145292,1,Casey,0,0,2.48,3.22
90145323,2,Casey,0,0,2.48,3.22
90145385,5,Casey,0,0,2.48,3.22
90145408,3,Casey,0,0,2.48,3.22
90145507,1,Casey,0,0,2.48,3.22
90145525,5,Casey,1,20,2.48,3.22
90145741,5,Casey,0,0,2.48,3.22
90145901,31,Casey,0,0,2.48,3.22
90146246,2,Casey,0,0,2.48,3.22
90148355,5,Casey,0,0,2.48,3.22
90152266,2,Casey,1,50,2.48,3.22
90152983,1,Casey,0,0,2.48,3.22
90153760,6,Casey,0,0,2.48,3.22
90154175,6,Casey,2,33,2.48,3.22
90154449,2,Casey,0,0,2.48,3.22
90160353,2,Casey,0,0,2.48,3.22
90160622,1,Casey,0,0,2.48,3.22
90160655,1,Casey,0,0,2.48,3.22
90161096,4,Casey,0,0,2.48,3.22
90161173,2,Casey,0,0,2.48,3.22
90161944,4,Casey,0,0,2.48,3.22
90162065,17,Casey,0,0,2.48,3.22
90162082,8,Casey,0,0,2.48,3.22
90162770,7,Casey,1,14,2.48,3.22
90162832,1,Casey,0,0,2.48,3.22
90162880,4,Casey,0,0,2.48,3.22
90162925,17,Casey,1,5,2.48,3.22
90162953,2,Casey,0,0,2.48,3.22
90163243,4,Casey,0,0,2.48,3.22
90164074,1,Casey,0,0,2.48,3.22
90164194,1,Casey,0,0,2.48,3.22
90164305,8,Casey,0,0,2.48,3.22
